STAID,name,huc2,aridity,DA_km2,obs_mean,cov,vol_ratio,base_nse,in_base,upstream_gauges
14034470,"WILLOW CREEK ABV WILLOW CR LAKE, NR HEPPNER,",17,2.517076529593134,176.229,0.5212415857686331,1.0,1.0336059396183255,0.6878080096275211,True,
10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERI,18,6.248732089996338,175.0671,0.7636957753026405,1.0,0.4272942360450351,0.43287740900519467,True,
11074000,SANTA ANA R BL PRADO DAM CA,18,4.4376964615612495,3726.514,10.003913020321782,1.0,0.5283206497168716,-0.011639286589594011,True,"11066460 SANTA ANA R A MWD CROSSING CA (2136 km2, cov 1.00); 11044300 SANTA MARGARITA R A FPUD SUMP NR F (1604 km2, cov 1.00); 11044000 SANTA MARGARITA R NR TEMECULA CA (1520 km2, cov 1.00)"
11149400,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA,18,4.372736317316691,851.3712,7.879296383201575,1.0,0.5395194830412177,0.13753794306178313,True,"11148900 NACIMIENTO R BL SAPAQUE C NR BRYSO (403 km2, cov 1.00)"
11075720,CARBON C BL CARBON CYN DAM CA,18,3.7408666575208622,50.4414,,,,,False,
11289650,TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA,18,3.521120463209973,3983.72,32.28398366920007,1.0,1.1157653703775345,0.5725792057729713,True,"11276900 TUOLUMNE R BL EARLY INTAKE NR MATH (1255 km2, cov 1.00); 11276500 TUOLUMNE R NR HETCH HETCHY CA (1179 km2, cov 1.00)"
11089500,FULLERTON C BL FULLERTON DAM NR BREA CA,18,3.5130453443331,13.1148,,,,,False,
11087020,SAN GABRIEL R AB WHITTIER NARROWS DAM CA,18,3.4856241633584197,1130.03,5.51259553238007,1.0,0.4454491266654784,0.6486229503472222,True,"11023000 SAN DIEGO R A FASHION VALLEY AT SA (1111 km2, cov 1.00); 11022480 SAN DIEGO R A MAST RD NR SANTEE CA (954 km2, cov 1.00); 11059300 SANTA ANA R A E ST NR SAN BERNARDI (946 km2, cov 1.00)"
11088500,BREA C BL BREA DAM NR FULLERTON CA,18,3.362869734641833,59.9148,,,,,False,"11089500 FULLERTON C BL FULLERTON DAM NR BR (13 km2, cov nan)"
11102300,RIO HONDO BL WHITTIER NARROWS DAM CA,18,3.360815058316535,326.5812,3.67645066632593,1.0,0.3681887107899661,0.5290559066533449,True,"11101250 RIO HONDO AB WHITTIER NARROWS DAM  (237 km2, cov 1.00)"
11270900,MERCED R BL MERCED FALLS DAM NR SNELL CA,18,3.2045126493459155,2749.327,39.521125689717316,1.0,1.1975430740016173,0.37963863223697836,True,"11266500 MERCED R A POHONO BRIDGE NR YOSEMI (833 km2, cov 1.00); 11264500 MERCED R A HAPPY ISLES BRIDGE NR Y (468 km2, cov 1.00)"
11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA,18,3.0632010370130964,1093.333,1.6587550383848435,1.0,0.6907161081506745,-0.19699461105713278,True,"11109600 PIRU CREEK ABOVE LAKE PIRU CA (964 km2, cov 1.00)"
11097000,BIG TUJUNGA C BL HANSEN DAM CA,18,3.032764198128567,395.8578,0.7909931381362371,1.0,0.7449036402936035,0.6784349330783925,True,"10263500 BIG ROCK C NR VALYERMO CA (59 km2, cov nan)"
11101250,RIO HONDO AB WHITTIER NARROWS DAM CA,18,2.821892847509488,237.2832,1.533815672030874,1.0,0.5940001412680974,0.6161626599364964,True,
11302000,STANISLAUS R BL GOODWIN DAM NR KNIGHTS FERRY,18,2.5556351790531617,2539.589,24.349321211835594,1.0,1.154276019020799,0.2595063992725044,True,"11292900 MF STANISLAUS R BL BEARDSLEY DAM C (813 km2, cov 1.00); 11292700 MF STANISLAUS R A HELLS HALF ACRE  (737 km2, cov 1.00); 11295270 NF STANISLAUS R BL MCKAYS POINT DA (430 km2, cov 1.00)"
