staid,n_reach,nse0,sigma,STAID,huc2,CLASS,AGGECOREGI,STATE,DRAIN_SQKM,STANAME
08198500,9,-2.2237847,15.014652,08198500,12,Ref,WestPlains,TX,624.347,"Sabinal Rv at Sabinal, TX"
08070200,11,0.08319813,24.92602,08070200,12,Ref,SEPlains,TX,989.3655,"E Fk San Jacinto Rv nr New Caney, TX"
08025500,15,0.7761371,16.437445,08025500,12,Ref,SEPlains,LA,383.0247,"Bayou Toro near Toro, LA"
08177500,19,-44.656685,25.546724,08177500,12,Non-ref,SEPlains,TX,1294.516,"Coleto Ck nr Victoria, TX"
08117500,33,0.70814407,45.552917,08117500,12,Non-ref,SECstPlain,TX,1869.099,"San Bernard Rv nr Boling, TX"
08186000,41,-0.6429081,32.227585,08186000,12,Non-ref,SEPlains,TX,2136.467,"Cibolo Ck nr Falls City, TX"
08022040,215,0.59426,112.40999,08022040,12,Non-ref,SEPlains,TX,9301.876,"Sabine Rv nr Beckville, TX"
08294210,3,-0.39947617,0.3445734,08294210,13,Non-ref,WestMnts,NM,87.4377,"RIO NAMBE BELOW NAMBE FALLS DAM NEAR NAMBE, NM"
08377900,3,0.33388102,1.5376819,08377900,13,Ref,WestMnts,NM,139.0311,"RIO MORA NEAR TERRERO, NM"
08291000,7,-4.9552627,1.004192,08291000,13,Non-ref,WestMnts,NM,238.815,"SANTA CRUZ RIVER NEAR CUNDIYO, NM"
08378500,9,0.053201497,3.9980402,08378500,13,Ref,WestMnts,NM,444.9591,"PECOS RIVER NEAR PECOS, NM"
08401900,19,-235.22234,2.4049568,08401900,13,Non-ref,WestMnts,NM,754.6581,"ROCKY ARROYO AT HWY BRD NR CARLSBAD, NM"
08276300,21,-16.212328,2.058353,08276300,13,Non-ref,WestMnts,NM,995.1879,"RIO PUEBLO DE TAOS BELOW LOS CORDOVAS, NM"
08382500,31,-1.2476718,1.6042286,08382500,13,Non-ref,WestXeric,NM,1618.996,"GALLINAS R NR COLONIAS, NM"
08390800,45,-391112.16,0.62141037,08390800,13,Non-ref,WestMnts,NM,2497.768,"RIO HONDO BLW DIAMOND A DAM NR ROSWELL, NM"
08287000,125,-0.22572207,12.724322,08287000,13,Non-ref,WestMnts,NM,5561.557,"RIO CHAMA BELOW ABIQUIU DAM, NM"
08384500,241,-0.09946501,9.400804,08384500,13,Non-ref,WestXeric,NM,11624.61,"PECOS RIVER BELOW SUMNER DAM, NM"
09306242,3,-11.402311,0.06948054,09306242,14,Ref,WestXeric,CO,81.9855,"CORRAL GULCH NEAR RANGELY, CO."
09050100,5,0.8188312,4.583428,09050100,14,Non-ref,WestMnts,CO,224.2575,"TENMILE CREEK BL NORTH TENMILE C, AT FRISCO, CO."
09255000,7,0.69961333,4.5061684,09255000,14,Non-ref,WestMnts,CO,387.9297,"SLATER FORK NEAR SLATER, CO."
09279000,11,-65.86099,3.6139734,09279000,14,Non-ref,WestMnts,UT,379.2339,"ROCK CREEK NEAR MOUNTAIN HOME, UT"
09109000,17,-0.3126018,4.0333285,09109000,14,Non-ref,WestMnts,CO,659.8449,"TAYLOR RIVER BELOW TAYLOR PARK RESERVOIR, CO."
09147500,27,0.68267906,7.0066867,09147500,14,Non-ref,WestMnts,CO,1159.221,"UNCOMPAHGRE RIVER AT COLONA, CO."
09330000,49,-0.6189033,0.96946937,09330000,14,Non-ref,WestMnts,UT,1951.025,"FREMONT RIVER NEAR BICKNELL, UT"
09114500,71,0.6565187,20.02202,09114500,14,Non-ref,WestMnts,CO,2617.133,"GUNNISON RIVER NEAR GUNNISON, CO."
09355500,169,-0.85867846,27.309689,09355500,14,Non-ref,WestMnts,NM,8372.682,"SAN JUAN RIVER NEAR ARCHULETA, NM"
09070500,261,0.8553695,56.4866,09070500,14,Non-ref,WestMnts,CO,11399.51,"COLORADO RIVER NEAR DOTSERO, CO."
09492400,3,-9.370178,0.94375116,09492400,15,Ref,WestMnts,AZ,128.9673,"EAST FORK WHITE RIVER NEAR FORT APACHE, AZ."
09386900,5,-0.3402424,0.6321339,09386900,15,Ref,WestMnts,NM,184.9419,"RIO NUTRIA NEAR RAMAH, NM"
09497980,7,-2.0865142,3.9062726,09497980,15,Ref,WestMnts,AZ,516.798,"CHERRY CREEK NEAR GLOBE, AZ."
09409880,13,-5.6007805,1.923752,09409880,15,Non-ref,WestXeric,UT,694.746,"SANTA CLARA RIVER AT GUNLOCK, UT"
09405500,21,0.8483101,4.4478197,09405500,15,Non-ref,WestXeric,UT,896.9364,"NORTH FORK VIRGIN RIVER NEAR SPRINGDALE, UT"
09494000,35,-15.791531,5.997776,09494000,15,Ref,WestMnts,AZ,1628.228,"WHITE RIVER NEAR FORT APACHE, AZ."
09386950,55,-238.94298,0.23075242,09386950,15,Non-ref,WestMnts,NM,2161.84,"ZUNI RIVER ABV BLACK ROCK RESERVOIR, NM"
09424900,73,-2.605511,4.056706,09424900,15,Non-ref,WestXeric,AZ,2927.177,"SANTA MARIA RIVER NEAR BAGDAD, AZ."
09431500,168,-0.6613679,13.245802,09431500,15,Non-ref,WestMnts,NM,7318.102,"GILA RIVER NEAR REDROCK, NM"
09506000,276,-2.2301443,29.173721,09506000,15,Non-ref,WestMnts,AZ,12097.16,"VERDE RIVER NEAR CAMP VERDE, AZ"
10336780,3,0.40064818,1.0958959,10336780,16,Non-ref,WestMnts,CA,95.1021,TROUT C NR TAHOE VALLEY CA
10310000,3,0.69759715,4.9556155,10310000,16,Non-ref,WestMnts,CA,169.3294,"WEST FORK CARSON RIVER AT WOODFORDS, CA"
10349300,7,0.11767089,1.1326427,10349300,16,Non-ref,WestXeric,NV,350.244,"STEAMBOAT C AT STEAMBOAT, NV"
10011500,11,0.84095114,8.456551,10011500,16,Non-ref,WestMnts,UT,445.6411,BEAR RIVER NEAR UTAH-WYOMING STATE LINE
10308200,15,0.17233616,15.411026,10308200,16,Ref,WestMnts,CA,716.4228,E F CARSON R BL MARKLEEVILLE C NR MARKLEEVILLECA
10353800,17,0.08125347,1.0994419,10353800,16,Non-ref,WestXeric,NV,579.9627,"SMOKE CK BLW RESERVOIR NR SMOKE CK, NV"
10337500,33,-8.291614,10.59416,10337500,16,Non-ref,WestMnts,CA,1312.217,TRUCKEE R A TAHOE CITY CA
10324500,51,-0.10580373,3.450527,10324500,16,Non-ref,WestXeric,NV,2228.59,"ROCK CK NR BATTLE MOUNTAIN, NV"
